number,category,questionText,questionCode,answerText,answerCode,mdnLink,timesSkipped,timesEdited,lastUpdated
1,Array Methods,What does <code>Array.isArray()</code> do?,,<code>Array.isArray()</code> checks whether an object is an array; returns true or false.,"const testArray = [1, 2, 3]; | 
 | 
Array.isArray(testArray) | 
// returns true",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/isArray,,,
2,Array Methods,"What does <code>Array.reduce()</code> look like, what does it do, and how does it work?",,"<code>Array.reduce()</code> reduce the values of an array to a single value, from left-to-right.
Accumulator holds the sum as the function iterates through an array.
currentValue adds the next index position to the sum / accumulator.
initialValue specifies where the count starts from; usually 0.
","const array = [1, 2, 3, 4]; | 
const initialValue = 0; | 
 | 
const sumWithInitial = array.reduce( | 
  (accumulator, currentValue) => accumulator + currentValue, | 
  initialValue | 
); | 
 | 
console.log(sumWithInitial); | 
// Expected output: 10",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/reduce,,,
3,Array Methods,What does <code>Array.toString()</code> do?,,"<code>Array.toString()</code> converts an array to a string, and returns the result.
A similar result can be obtained with .join().","const array1 = [1, 2, 'a', '1a']; | 
 | 
console.log(array1.toString()); | 
// Expected output: ""1,2,a,1a""",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/toString,,,
4,Array Methods,What does <code>Array.some()</code> do?,,<code>Array.some()</code> checks if any of the elements in an array pass a test.,"const array = [1, 2, 3, 4, 5]; | 
 | 
// Checks whether an element is even | 
const even = (element) => element % 2 === 0; | 
 | 
console.log(array.some(even)); | 
// Expected output: true",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/some,,,
5,Array Methods,What does <code>Array.from()</code> do?,,<code>Array.from()</code> creates an array from an object.,"console.log(Array.from('foo')); | 
// Expected output: Array [""f"", ""o"", ""o""] | 
 | 
console.log(Array.from([1, 2, 3], x => x + x)); | 
// Expected output: Array [2, 4, 6]",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/from,,,
6,Array Methods,What does <code>Array.unshift()</code> do?,,"<code>Array.unshift()</code> adds new elements to the beginning of an array, and returns the new length.","const array = [1, 2, 3]; | 
 | 
array.unshift(4, 5); | 
// returns new array length: 5 | 
 | 
console.log(array); | 
// returns [4, 5, 1, 2, 3] | 
 | 
const otherArray = [6, 7, 8, 9, 10]; | 
array.unshift(...otherArray); | 
// returns new array length: 10; | 
 | 
console.log(array); | 
// returns array: [6, 7, 8, 9, 10, 4, 5, 1, 2, 3]",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/unshift,,,
7,Array Methods,What does <code>Array.shift()</code> do?,,"<code>Array.shift()</code> removes the first element of an array, and returns that element.  Shift = Start.","const array = [1, 2, 3, 4]; | 
 | 
array.shift(); | 
// returns: 1 | 
 | 
console.log(array); | 
// returns: Array [2, 3, 4] | 
 | 
const firstElement = array.shift(); | 
// calling array.shift to assign to firstElement removes first element | 
console.log(array); | 
// Expected output: Array [3, 4] | 
 | 
console.log(firstElement); | 
// returns: 2",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/shift,,,
8,Array Methods,What does <code>Array.indexOf()</code> do?,,<code>Array.indexOf()</code> search the array for an element and returns its position as an integer.,"const beasts = ['ant', 'bison', 'camel', 'duck', 'bison']; | 
 | 
console.log(beasts.indexOf('bison')); | 
// Expected output: 1 | 
 | 
// Start from index 2 | 
console.log(beasts.indexOf('bison', 2)); | 
// Expected output: 4 | 
 | 
console.log(beasts.indexOf('giraffe')); | 
// Expected output: -1",https://www.google.com/search?q=Array.indexOf(),,,
9,Array Methods,What does <code>Array.lastIndexOf()</code> do?,,"<code>Array.lastIndexOf()</code> searches an array for an element, starting at the end, and returns its position.","const animals = ['Dodo', 'Tiger', 'Penguin', 'Dodo']; | 
 | 
console.log(animals.lastIndexOf('Dodo')); | 
// Expected output: 3 | 
 | 
console.log(animals.lastIndexOf('Tiger')); | 
// Expected output: 1",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/lastIndexOf,,,
10,Boolean Methods,What does <code>Boolean.toString()</code> do?,,"<code>Boolean.toString()</code> converts a boolean value to a string, and returns the result.","const flag1 = new Boolean(true); | 
 | 
console.log(flag1.toString()); | 
// Expected output: ""true"" | 
 | 
const flag2 = new Boolean(1); | 
 | 
console.log(flag2.toString()); | 
// Expected output: ""true""",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Boolean/toString,,,
